epoch,timestamp,train_loss,train_acc,val_acc,learning_rate,best_val_acc,epoch_time_sec,trainable_parameters,frozen_parameters,total_parameters,trainable_layers,frozen_layers,total_layers
1,10/21/2025 10:26,0.576088521,68.55147717,80.04869665,9.76E-05,0,336.6824121,121497858,263488,121761346,48,20,68
2,10/21/2025 10:32,0.509585782,73.00268577,83.113721,9.05E-05,80.04869665,334.0556462,121497858,263488,121761346,48,20,68
3,10/21/2025 10:38,0.485821138,76.31512981,80.77914638,7.96E-05,83.113721,370.8060949,121497858,263488,121761346,48,20,68
4,10/21/2025 10:44,0.460661546,76.29364369,87.05242051,6.58E-05,83.113721,369.3012271,121497858,263488,121761346,48,20,68
5,10/21/2025 10:51,0.450391452,78.88988362,82.9848181,5.05E-05,87.05242051,369.1118338,121497858,263488,121761346,48,20,68
6,10/21/2025 10:57,0.432774211,78.3992838,89.1148668,3.52E-05,87.05242051,376.0686419,121497858,263488,121761346,48,20,68
7,10/21/2025 11:03,0.424046821,78.4171889,89.30105987,2.14E-05,89.1148668,361.1401532,121497858,263488,121761346,48,20,68
8,10/21/2025 11:10,0.39726833,81.92658908,89.87396162,1.05E-05,89.30105987,357.9063163,121497858,263488,121761346,48,20,68
9,10/21/2025 11:16,0.38114447,81.19247986,89.63047837,3.42E-06,89.87396162,359.8089094,121497858,263488,121761346,48,20,68
10,10/21/2025 11:22,0.374522,82.7645479,90.51847608,0.0001,89.87396162,357.2451944,121497858,263488,121761346,48,20,68
11,10/21/2025 11:28,0.426592902,78.2954342,88.64222286,9.94E-05,90.51847608,365.1495528,121497858,263488,121761346,48,20,68
12,10/21/2025 11:34,0.410296122,79.49149508,87.56803208,9.76E-05,90.51847608,360.0771997,121497858,263488,121761346,48,20,68
13,10/21/2025 12:13,0.419980518,80.9561325,91.57834431,9.46E-05,90.51847608,319.7017138,121497858,263488,121761346,48,20,68
14,10/21/2025 12:19,0.390418707,82.42076992,92.59524492,9.05E-05,91.57834431,345.8492546,121497858,263488,121761346,48,20,68
15,10/21/2025 12:25,0.393951474,80.49059982,92.40905185,8.55E-05,92.59524492,338.7543795,121497858,263488,121761346,48,20,68
16,10/21/2025 12:31,0.371969694,81.46821844,92.2944715,7.96E-05,92.59524492,342.0105572,121497858,263488,121761346,48,20,68
17,10/21/2025 12:37,0.357393897,82.90062668,93.98453165,7.30E-05,92.59524492,339.5149987,121497858,263488,121761346,48,20,68
18,10/21/2025 12:43,0.342922829,86.5389436,93.59782297,6.58E-05,93.98453165,346.6248822,121497858,263488,121761346,48,20,68
19,10/21/2025 12:49,0.362555265,83.90331244,94.29962761,5.82E-05,93.98453165,343.1599362,121497858,263488,121761346,48,20,68
20,10/21/2025 12:54,0.343209116,85.29632945,93.26840447,5.05E-05,94.29962761,335.3536077,121497858,263488,121761346,48,20,68
21,10/21/2025 13:00,0.350677186,82.02685765,95.0157548,4.28E-05,94.29962761,344.5363319,121497858,263488,121761346,48,20,68
22,10/21/2025 13:06,0.331866835,83.33393017,94.099112,3.52E-05,95.0157548,346.9681587,121497858,263488,121761346,48,20,68
23,10/21/2025 13:12,0.331245588,83.01880036,94.74362647,2.80E-05,95.0157548,339.9713993,121497858,263488,121761346,48,20,68
24,10/21/2025 13:18,0.324045294,85.88003581,94.38556288,2.14E-05,95.0157548,342.8803964,121497858,263488,121761346,48,20,68
25,10/21/2025 13:24,0.310461506,86.25962399,94.90117445,1.55E-05,95.0157548,342.8413043,121497858,263488,121761346,48,20,68
26,10/21/2025 13:30,0.330099395,83.35183527,94.54311086,1.05E-05,95.0157548,339.1173944,121497858,263488,121761346,48,20,68
27,10/21/2025 13:36,0.313439792,86.88988362,95.0157548,6.40E-06,95.0157548,340.1376202,121497858,263488,121761346,48,20,68
28,10/21/2025 13:42,0.313820087,86.61056401,95.30220567,3.42E-06,95.0157548,339.0492456,121497858,263488,121761346,48,20,68
29,10/21/2025 13:48,0.329801785,83.0080573,95.04439989,1.61E-06,95.30220567,334.181318,121497858,263488,121761346,48,20,68
30,10/21/2025 13:53,0.302236637,85.21396598,94.92981954,0.0001,95.30220567,336.9742191,121497858,263488,121761346,48,20,68
31,10/21/2025 14:00,0.345218922,83.28379588,92.58092237,1.78E-06,95.30220567,364.8526144,121761346,0,121761346,68,0,68
32,10/21/2025 14:18,0.372339148,82.06624888,96.33342882,2.56E-06,95.30220567,330.3124394,121497858,0,121761346,68,0,68
33,10/21/2025 14:23,0.369233908,83.07967771,95.88942996,3.34E-06,96.33342882,345.6269295,121497858,0,121761346,68,0,68
34,10/21/2025 14:30,0.351738887,81.77976723,95.48839874,4.12E-06,96.33342882,352.8251276,121497858,0,121761346,68,0,68
35,10/21/2025 14:36,0.351370833,83.79230081,90.44686336,4.90E-06,96.33342882,347.1069229,121497858,0,121761346,68,0,68
36,10/21/2025 14:42,0.364381069,81.34646374,94.38556288,4.90E-06,96.33342882,347.7945893,121497858,0,121761346,68,0,68
37,10/21/2025 14:47,0.337431744,84.96687556,95.1160126,4.90E-06,96.33342882,348.5715919,121497858,0,121761346,68,0,68
38,10/21/2025 14:53,0.337779159,84.57654432,90.48983099,4.90E-06,96.33342882,348.4204164,121497858,0,121761346,68,0,68
39,10/21/2025 14:59,0.345523668,82.46732319,95.04439989,4.90E-06,96.33342882,347.0358441,121497858,0,121761346,68,0,68
40,10/21/2025 15:05,0.336231573,83.80304387,92.38040676,4.90E-06,96.33342882,346.2978268,121497858,0,121761346,68,0,68
41,10/21/2025 15:54,0.344742667,83.32676813,95.2449155,4.90E-06,96.33342882,340.7650344,121497858,0,121761346,68,0,68
42,10/21/2025 16:00,0.345933638,82.89346464,98.26697221,4.90E-06,96.33342882,366.7274928,121497858,0,121761346,68,0,68
43,10/21/2025 16:06,0.33866346,82.16651746,96.73446004,4.90E-06,98.26697221,358.7847104,121497858,0,121761346,68,0,68
44,10/21/2025 16:12,0.326035715,82.59265891,98.30993985,4.90E-06,98.26697221,360.7764497,121497858,0,121761346,68,0,68
45,10/21/2025 16:18,0.332013069,84.28290063,95.90375251,4.90E-06,98.30993985,348.9790409,121497858,0,121761346,68,0,68
46,10/21/2025 16:24,0.340367941,83.64905998,96.53394443,4.90E-06,98.30993985,345.949774,121497858,0,121761346,68,0,68
47,10/21/2025 16:30,0.334225501,83.2873769,97.19278144,4.90E-06,98.30993985,346.9312379,121497858,0,121761346,68,0,68
48,10/21/2025 16:36,0.325245529,84.37242614,96.63420223,4.90E-06,98.30993985,344.6257205,121497858,0,121761346,68,0,68
49,10/21/2025 17:02,0.331221664,82.47448523,98.68232598,4.90E-06,98.30993985,333.6939037,121497858,0,121761346,68,0,68
50,10/21/2025 17:08,0.342379292,81.77976723,98.63935835,4.90E-06,98.68232598,349.365344,121497858,0,121761346,68,0,68
